Id,SL,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,PWSW,New_Column
1,5,3.5,1.4,0.2,Iris-setosa,0.7000000000000001,15
2,4,3.0,1.4,0.2,Iris-setosa,0.6000000000000001,14
3,4,3.2,1.3,0.2,Iris-setosa,0.6400000000000001,14
4,4,3.1,1.5,0.2,Iris-setosa,0.6200000000000001,14
5,5,3.6,1.4,0.2,Iris-setosa,0.7200000000000001,15
6,5,3.9,1.7,0.4,Iris-setosa,1.56,15
7,4,3.4,1.4,0.3,Iris-setosa,1.02,14
8,5,3.4,1.5,0.2,Iris-setosa,0.68,15
9,4,2.9,1.4,0.2,Iris-setosa,0.58,14
10,4,3.1,1.5,0.1,Iris-setosa,0.31000000000000005,14
11,5,3.7,1.5,0.2,Iris-setosa,0.7400000000000001,15
12,4,3.4,1.6,0.2,Iris-setosa,0.68,14
13,4,3.0,1.4,0.1,Iris-setosa,0.30000000000000004,14
14,4,3.0,1.1,0.1,Iris-setosa,0.30000000000000004,14
15,5,4.0,1.2,0.2,Iris-setosa,0.8,15
16,5,4.4,1.5,0.4,Iris-setosa,1.7600000000000002,15
17,5,3.9,1.3,0.4,Iris-setosa,1.56,15
18,5,3.5,1.4,0.3,Iris-setosa,1.05,15
19,5,3.8,1.7,0.3,Iris-setosa,1.14,15
20,5,3.8,1.5,0.3,Iris-setosa,1.14,15
21,5,3.4,1.7,0.2,Iris-setosa,0.68,15
22,5,3.7,1.5,0.4,Iris-setosa,1.4800000000000002,15
23,4,3.6,1.0,0.2,Iris-setosa,0.7200000000000001,14
24,5,3.3,1.7,0.5,Iris-setosa,1.65,15
25,4,3.4,1.9,0.2,Iris-setosa,0.68,14
26,5,3.0,1.6,0.2,Iris-setosa,0.6000000000000001,15
27,5,3.4,1.6,0.4,Iris-setosa,1.36,15
28,5,3.5,1.5,0.2,Iris-setosa,0.7000000000000001,15
29,5,3.4,1.4,0.2,Iris-setosa,0.68,15
30,4,3.2,1.6,0.2,Iris-setosa,0.6400000000000001,14
31,4,3.1,1.6,0.2,Iris-setosa,0.6200000000000001,14
32,5,3.4,1.5,0.4,Iris-setosa,1.36,15
33,5,4.1,1.5,0.1,Iris-setosa,0.41,15
34,5,4.2,1.4,0.2,Iris-setosa,0.8400000000000001,15
35,4,3.1,1.5,0.1,Iris-setosa,0.31000000000000005,14
36,5,3.2,1.2,0.2,Iris-setosa,0.6400000000000001,15
37,5,3.5,1.3,0.2,Iris-setosa,0.7000000000000001,15
38,4,3.1,1.5,0.1,Iris-setosa,0.31000000000000005,14
39,4,3.0,1.3,0.2,Iris-setosa,0.6000000000000001,14
40,5,3.4,1.5,0.2,Iris-setosa,0.68,15
41,5,3.5,1.3,0.3,Iris-setosa,1.05,15
42,4,2.3,1.3,0.3,Iris-setosa,0.69,14
43,4,3.2,1.3,0.2,Iris-setosa,0.6400000000000001,14
44,5,3.5,1.6,0.6,Iris-setosa,2.1,15
45,5,3.8,1.9,0.4,Iris-setosa,1.52,15
46,4,3.0,1.4,0.3,Iris-setosa,0.8999999999999999,14
47,5,3.8,1.6,0.2,Iris-setosa,0.76,15
48,4,3.2,1.4,0.2,Iris-setosa,0.6400000000000001,14
49,5,3.7,1.5,0.2,Iris-setosa,0.7400000000000001,15
50,5,3.3,1.4,0.2,Iris-setosa,0.66,15
51,7,3.2,4.7,1.4,Iris-versicolor,4.4799999999999995,17
52,6,3.2,4.5,1.5,Iris-versicolor,4.800000000000001,16
53,6,3.1,4.9,1.5,Iris-versicolor,4.65,16
54,5,2.3,4.0,1.3,Iris-versicolor,2.9899999999999998,15
55,6,2.8,4.6,1.5,Iris-versicolor,4.199999999999999,16
56,5,2.8,4.5,1.3,Iris-versicolor,3.6399999999999997,15
57,6,3.3,4.7,1.6,Iris-versicolor,5.28,16
58,4,2.4,3.3,1.0,Iris-versicolor,2.4,14
59,6,2.9,4.6,1.3,Iris-versicolor,3.77,16
60,5,2.7,3.9,1.4,Iris-versicolor,3.78,15
61,5,2.0,3.5,1.0,Iris-versicolor,2.0,15
62,5,3.0,4.2,1.5,Iris-versicolor,4.5,15
63,6,2.2,4.0,1.0,Iris-versicolor,2.2,16
64,6,2.9,4.7,1.4,Iris-versicolor,4.06,16
65,5,2.9,3.6,1.3,Iris-versicolor,3.77,15
66,6,3.1,4.4,1.4,Iris-versicolor,4.34,16
67,5,3.0,4.5,1.5,Iris-versicolor,4.5,15
68,5,2.7,4.1,1.0,Iris-versicolor,2.7,15
69,6,2.2,4.5,1.5,Iris-versicolor,3.3000000000000003,16
70,5,2.5,3.9,1.1,Iris-versicolor,2.75,15
71,5,3.2,4.8,1.8,Iris-versicolor,5.760000000000001,15
72,6,2.8,4.0,1.3,Iris-versicolor,3.6399999999999997,16
73,6,2.5,4.9,1.5,Iris-versicolor,3.75,16
74,6,2.8,4.7,1.2,Iris-versicolor,3.36,16
75,6,2.9,4.3,1.3,Iris-versicolor,3.77,16
76,6,3.0,4.4,1.4,Iris-versicolor,4.199999999999999,16
77,6,2.8,4.8,1.4,Iris-versicolor,3.9199999999999995,16
78,6,3.0,5.0,1.7,Iris-versicolor,5.1,16
79,6,2.9,4.5,1.5,Iris-versicolor,4.35,16
80,5,2.6,3.5,1.0,Iris-versicolor,2.6,15
81,5,2.4,3.8,1.1,Iris-versicolor,2.64,15
82,5,2.4,3.7,1.0,Iris-versicolor,2.4,15
83,5,2.7,3.9,1.2,Iris-versicolor,3.24,15
84,6,2.7,5.1,1.6,Iris-versicolor,4.32,16
85,5,3.0,4.5,1.5,Iris-versicolor,4.5,15
86,6,3.4,4.5,1.6,Iris-versicolor,5.44,16
87,6,3.1,4.7,1.5,Iris-versicolor,4.65,16
88,6,2.3,4.4,1.3,Iris-versicolor,2.9899999999999998,16
89,5,3.0,4.1,1.3,Iris-versicolor,3.9000000000000004,15
90,5,2.5,4.0,1.3,Iris-versicolor,3.25,15
91,5,2.6,4.4,1.2,Iris-versicolor,3.12,15
92,6,3.0,4.6,1.4,Iris-versicolor,4.199999999999999,16
93,5,2.6,4.0,1.2,Iris-versicolor,3.12,15
94,5,2.3,3.3,1.0,Iris-versicolor,2.3,15
95,5,2.7,4.2,1.3,Iris-versicolor,3.5100000000000002,15
96,5,3.0,4.2,1.2,Iris-versicolor,3.5999999999999996,15
97,5,2.9,4.2,1.3,Iris-versicolor,3.77,15
98,6,2.9,4.3,1.3,Iris-versicolor,3.77,16
99,5,2.5,3.0,1.1,Iris-versicolor,2.75,15
100,5,2.8,4.1,1.3,Iris-versicolor,3.6399999999999997,15
101,6,3.3,6.0,2.5,Iris-virginica,8.25,16
102,5,2.7,5.1,1.9,Iris-virginica,5.13,15
103,7,3.0,5.9,2.1,Iris-virginica,6.300000000000001,17
104,6,2.9,5.6,1.8,Iris-virginica,5.22,16
105,6,3.0,5.8,2.2,Iris-virginica,6.6000000000000005,16
106,7,3.0,6.6,2.1,Iris-virginica,6.300000000000001,17
107,4,2.5,4.5,1.7,Iris-virginica,4.25,14
108,7,2.9,6.3,1.8,Iris-virginica,5.22,17
109,6,2.5,5.8,1.8,Iris-virginica,4.5,16
110,7,3.6,6.1,2.5,Iris-virginica,9.0,17
111,6,3.2,5.1,2.0,Iris-virginica,6.4,16
112,6,2.7,5.3,1.9,Iris-virginica,5.13,16
113,6,3.0,5.5,2.1,Iris-virginica,6.300000000000001,16
114,5,2.5,5.0,2.0,Iris-virginica,5.0,15
115,5,2.8,5.1,2.4,Iris-virginica,6.72,15
116,6,3.2,5.3,2.3,Iris-virginica,7.359999999999999,16
117,6,3.0,5.5,1.8,Iris-virginica,5.4,16
118,7,3.8,6.7,2.2,Iris-virginica,8.36,17
119,7,2.6,6.9,2.3,Iris-virginica,5.9799999999999995,17
120,6,2.2,5.0,1.5,Iris-virginica,3.3000000000000003,16
121,6,3.2,5.7,2.3,Iris-virginica,7.359999999999999,16
122,5,2.8,4.9,2.0,Iris-virginica,5.6,15
123,7,2.8,6.7,2.0,Iris-virginica,5.6,17
124,6,2.7,4.9,1.8,Iris-virginica,4.86,16
125,6,3.3,5.7,2.1,Iris-virginica,6.93,16
126,7,3.2,6.0,1.8,Iris-virginica,5.760000000000001,17
127,6,2.8,4.8,1.8,Iris-virginica,5.04,16
128,6,3.0,4.9,1.8,Iris-virginica,5.4,16
129,6,2.8,5.6,2.1,Iris-virginica,5.88,16
130,7,3.0,5.8,1.6,Iris-virginica,4.800000000000001,17
131,7,2.8,6.1,1.9,Iris-virginica,5.319999999999999,17
132,7,3.8,6.4,2.0,Iris-virginica,7.6,17
133,6,2.8,5.6,2.2,Iris-virginica,6.16,16
134,6,2.8,5.1,1.5,Iris-virginica,4.199999999999999,16
135,6,2.6,5.6,1.4,Iris-virginica,3.6399999999999997,16
136,7,3.0,6.1,2.3,Iris-virginica,6.8999999999999995,17
137,6,3.4,5.6,2.4,Iris-virginica,8.16,16
138,6,3.1,5.5,1.8,Iris-virginica,5.58,16
139,6,3.0,4.8,1.8,Iris-virginica,5.4,16
140,6,3.1,5.4,2.1,Iris-virginica,6.510000000000001,16
141,6,3.1,5.6,2.4,Iris-virginica,7.4399999999999995,16
142,6,3.1,5.1,2.3,Iris-virginica,7.13,16
143,5,2.7,5.1,1.9,Iris-virginica,5.13,15
144,6,3.2,5.9,2.3,Iris-virginica,7.359999999999999,16
145,6,3.3,5.7,2.5,Iris-virginica,8.25,16
146,6,3.0,5.2,2.3,Iris-virginica,6.8999999999999995,16
147,6,2.5,5.0,1.9,Iris-virginica,4.75,16
148,6,3.0,5.2,2.0,Iris-virginica,6.0,16
149,6,3.4,5.4,2.3,Iris-virginica,7.819999999999999,16
150,5,3.0,5.1,1.8,Iris-virginica,5.4,15
